数据库：年度数据,,,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,,
时间,女性人口数(人口抽样调查)(人),0-4岁女性人口数(人口抽样调查)(人),5-9岁女性人口数(人口抽样调查)(人),10-14岁女性人口数(人口抽样调查)(人),15-19岁女性人口数(人口抽样调查)(人),20-24岁女性人口数(人口抽样调查)(人),25-29岁女性人口数(人口抽样调查)(人),30-34岁女性人口数(人口抽样调查)(人),35-39岁女性人口数(人口抽样调查)(人),40-44岁女性人口数(人口抽样调查)(人),45-49岁女性人口数(人口抽样调查)(人),50-54岁女性人口数(人口抽样调查)(人),55-59岁女性人口数(人口抽样调查)(人),60-64岁女性人口数(人口抽样调查)(人),65-69岁女性人口数(人口抽样调查)(人),70-74岁女性人口数(人口抽样调查)(人),75-79岁女性人口数(人口抽样调查)(人),80-84岁女性人口数(人口抽样调查)(人),85-89岁女性人口数(人口抽样调查)(人),90-94岁女性人口数(人口抽样调查)(人),95岁以上女性人口数(人口抽样调查)(人)
2017年,559174,31845,28969,27798,27217,34689,49251,44249,40609,42983,51815,47778,29579,34017,26271,16799,11779,8048,3849,1304,324
2016年,564932,31744,29165,27647,28363,37736,52439,43503,39492,46388,51429,48116,29374,33887,24576,16132,11705,7884,3803,1271,279
2015年,10395195,575117,536190,504836,539299,745694,985108,778959,738538,892759,945069,797433,586543,606510,425407,286765,215643,141534,66910,21935,4947
2014年,548391,29506,28807,26671,30136,43894,49044,40768,40032,49873,48795,38439,32628,30826,21137,14606,11151,7302,3360,1175,241
2013年,545005,29218,28556,26422,32538,46446,46443,40691,41277,50753,48245,34178,34827,29026,19638,14157,11199,7011,3152,1003,227
2012年,548307,29287,28057,27475,35005,49709,44679,41047,43530,52620,48748,30362,35267,27499,18851,14234,11126,6719,2921,955,217
2011年,558170,29583,28037,28772,38322,53323,44282,40240,47325,52585,49419,30383,35453,26020,17990,14432,11216,6640,2941,991,216
2009年,573115,27018,28296,33610,39345,43636,37803,39901,53461,56494,46719,41893,39522,27342,19837,16234,11531,6616,2818,813,225
2008年,580182,27057,29088,36717,43329,40883,38920,41400,55269,57072,42640,45668,38260,25929,19361,16746,11445,6490,2889,830,190
2007年,585999,26833,30927,38936,46481,40081,39510,44130,58270,58198,38140,45858,36243,25050,19554,16851,10915,6352,2676,791,206
2006年,588363,27436,31646,41079,49542,38889,38242,47580,57920,58505,38247,44964,33737,23939,19536,16550,10781,6221,2581,764,204
2005年,8400884,407393,483660,631770,694399,536796,571055,734887,838354,742898,571720,614170,445014,325791,277929,230928,154487,89978,36107,11040,2509
2004年,615898,27784,34788,48850,52676,40440,44959,58944,61084,50038,44289,42563,30316,23333,19952,16442,10047,6082,2379,759,171
2003年,617098,28468,36934,53021,49720,40569,47263,61628,61323,44727,46561,40584,28071,22678,20737,15650,10277,5695,2357,703,134
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,
